labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
73.0,13,Halland,2015-10-01,314784,74190,23.568542238487346,84.2434812442818
72.9,14,Västra Götaland,2015-10-01,1648682,429669,26.061362955378904,86.1841155541214
68.89999999999999,17,Värmland,2015-10-01,275904,59484,21.559672929714683,75.70821735096266
71.3,18,Örebro,2015-10-01,291012,64790,22.26368672082251,83.91750168377936
70.6,19,Västmanland,2015-10-01,264276,58346,22.0776763686449,88.2615144772889
70.5,20,Dalarna,2015-10-01,281028,54934,19.547518396743385,82.53056634926057
69.2,21,Gävleborg,2015-10-01,281815,54656,19.394283483845786,80.21680889945532
67.9,22,Västernorrland,2015-10-01,243897,51690,21.193372612209252,79.21581651270824
72.2,23,Jämtland,2015-10-01,127376,27695,21.74271448310514,71.18766486622283
71.5,24,Västerbotten,2015-10-01,263378,71689,27.219053983248408,79.34717402364663
70.3,25,Norrbotten,2015-10-01,249733,55245,22.121625896457417,82.63945894215021
77.2,01,Stockholm,2016-01-01,2269060,746433,32.89613320053238,96.80103287609475
74.7,03,Uppsala,2016-01-01,361373,110488,30.574503352491746,81.5441433911973
70.9,04,Södermanland,2016-01-01,288097,58183,20.195628555660072,84.38557410331605
71.9,05,Östergötland,2016-01-01,452105,114779,25.387686488758142,85.40594757001398
75.0,06,Jönköping,2016-01-01,352735,74511,21.123789813882944,83.82776990371927
73.80000000000001,07,Kronoberg,2016-01-01,194628,44542,22.885710175308795,78.6558951554327
71.7,08,Kalmar,2016-01-01,242301,50365,20.786129648660136,79.45674628385343
67.1,09,Gotland,2016-01-01,58003,12562,21.65750047411341,62.10904148734122
72.4,10,Blekinge,2016-01-01,158453,36661,23.136829217496672,83.35135965389465
73.1,12,Skåne,2016-01-01,1324565,357918,27.021550471286798,90.29500002684817
75.3,13,Halland,2016-01-01,320333,76463,23.869847939487972,84.2434812442818
73.39999999999999,14,Västra Götaland,2016-01-01,1671783,442252,26.453911781612803,86.1841155541214
69.7,17,Värmland,2016-01-01,279334,60866,21.789685466144473,75.70821735096266
70.7,18,Örebro,2016-01-01,294941,66602,22.581465445631498,83.91750168377936
71.7,19,Västmanland,2016-01-01,267629,59689,22.302889447705592,88.2615144772889
71.39999999999999,20,Dalarna,2016-01-01,284531,56366,19.810143710175694,82.53056634926057
