;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
174;Region Zealand;DK-85;2008-11-01;79;100;100;100;100;65;40;100;100;80;40;68;40;81;57;100;0;75;100;87;39;0;Zealand;DK-85
175;Capital Region of Denmark;DK-84;2008-12-01;32;100;100;86;98;46;33;82;80;52;74;29;29;39;56;72;73;45;61;72;60;18;Capital;DK-84
176;Central Denmark Region;DK-82;2008-12-01;29;97;95;99;60;33;37;81;70;84;55;12;29;88;71;100;82;51;63;100;100;0;Central Denmark;DK-82
177;North Denmark Region;DK-81;2008-12-01;100;31;98;59;93;47;63;87;63;100;100;56;100;100;74;42;0;70;100;98;48;0;North Denmark;DK-81
178;Region Syddanmark;DK-83;2008-12-01;45;66;86;85;100;51;69;100;84;85;57;50;54;54;100;91;100;66;94;81;78;100;Southern Denmark;DK-83
179;Region Zealand;DK-85;2008-12-01;39;98;87;100;86;100;100;85;100;94;90;100;79;78;59;67;0;100;69;51;76;0;Zealand;DK-85
180;Capital Region of Denmark;DK-84;2009-01-01;83;100;100;79;100;54;56;73;65;55;100;55;60;69;65;67;61;44;88;79;73;0;Capital;DK-84
181;Central Denmark Region;DK-82;2009-01-01;83;82;90;81;85;30;59;70;71;85;69;40;84;59;88;100;82;71;86;84;100;73;Central Denmark;DK-82
182;North Denmark Region;DK-81;2009-01-01;100;98;84;83;46;100;100;79;57;100;68;100;36;100;100;34;0;65;63;81;85;100;North Denmark;DK-81
183;Region Syddanmark;DK-83;2009-01-01;65;89;95;99;97;77;18;79;64;91;82;27;71;84;65;61;100;62;90;100;43;36;Southern Denmark;DK-83
184;Region Zealand;DK-85;2009-01-01;64;95;92;100;74;57;54;100;100;97;67;90;100;54;65;99;0;100;100;76;82;0;Zealand;DK-85
185;Capital Region of Denmark;DK-84;2009-02-01;45;100;100;88;84;93;43;75;82;54;100;48;63;100;63;54;24;59;47;74;53;43;Capital;DK-84
186;Central Denmark Region;DK-82;2009-02-01;65;70;94;71;87;100;72;66;65;84;68;52;40;58;60;45;28;81;42;94;59;100;Central Denmark;DK-82
187;North Denmark Region;DK-81;2009-02-01;100;81;93;29;76;51;49;81;83;100;88;100;81;63;0;27;0;100;67;73;60;0;North Denmark;DK-81
188;Region Syddanmark;DK-83;2009-02-01;43;45;88;100;100;66;36;81;71;90;52;48;100;36;67;100;100;70;37;100;100;61;Southern Denmark;DK-83
189;Region Zealand;DK-85;2009-02-01;56;42;86;77;96;85;100;100;100;86;94;47;89;0;100;67;0;73;100;63;88;91;Zealand;DK-85
190;Capital Region of Denmark;DK-84;2009-03-01;49;100;88;78;66;66;60;90;65;59;95;72;66;75;45;52;18;73;62;66;49;71;Capital;DK-84
191;Central Denmark Region;DK-82;2009-03-01;77;90;87;98;59;79;76;88;54;77;98;100;100;71;62;73;62;98;74;76;75;83;Central Denmark;DK-82
192;North Denmark Region;DK-81;2009-03-01;100;50;88;74;81;100;100;77;40;100;80;73;60;67;100;100;0;100;100;85;67;90;North Denmark;DK-81
193;Region Syddanmark;DK-83;2009-03-01;50;72;96;100;75;67;84;100;45;85;100;95;67;100;81;71;100;85;56;100;100;100;Southern Denmark;DK-83
194;Region Zealand;DK-85;2009-03-01;71;50;100;86;100;85;63;93;100;81;75;46;99;56;54;84;0;90;55;94;75;75;Zealand;DK-85
195;Capital Region of Denmark;DK-84;2009-04-01;48;100;100;99;71;45;94;86;85;51;81;59;78;100;49;100;100;62;65;66;59;93;Capital;DK-84
196;Central Denmark Region;DK-82;2009-04-01;100;72;94;99;57;37;84;75;71;70;100;60;100;82;36;78;0;67;100;100;54;55;Central Denmark;DK-82
197;North Denmark Region;DK-81;2009-04-01;56;55;94;78;58;100;100;83;78;100;99;38;0;0;100;96;0;87;58;68;77;0;North Denmark;DK-81
198;Region Syddanmark;DK-83;2009-04-01;72;59;98;100;74;58;65;91;64;73;61;74;41;51;45;81;0;100;45;80;73;89;Southern Denmark;DK-83
199;Region Zealand;DK-85;2009-04-01;33;95;93;63;100;58;0;100;100;59;52;100;91;76;86;83;0;81;67;75;100;100;Zealand;DK-85
200;Capital Region of Denmark;DK-84;2009-05-01;49;100;100;59;98;65;95;82;62;69;100;82;53;89;99;45;87;69;63;53;100;35;Capital;DK-84
201;Central Denmark Region;DK-82;2009-05-01;31;65;89;66;91;100;79;93;59;94;92;100;78;63;50;48;0;72;65;79;61;24;Central Denmark;DK-82
202;North Denmark Region;DK-81;2009-05-01;100;47;86;42;70;53;55;74;37;82;49;73;83;100;63;41;0;99;75;100;97;0;North Denmark;DK-81
203;Region Syddanmark;DK-83;2009-05-01;61;48;99;100;100;83;22;100;100;100;67;67;0;99;100;32;100;71;73;78;69;0;Southern Denmark;DK-83
204;Region Zealand;DK-85;2009-05-01;38;34;90;48;62;95;100;99;60;89;43;66;100;91;86;100;0;100;100;69;88;100;Zealand;DK-85
205;Capital Region of Denmark;DK-84;2009-06-01;70;70;100;71;66;33;43;75;79;52;100;100;45;83;33;78;36;78;61;76;31;39;Capital;DK-84
206;Central Denmark Region;DK-82;2009-06-01;100;55;93;94;73;62;62;95;71;75;57;65;55;46;71;79;50;100;80;99;25;32;Central Denmark;DK-82
